Store,Item,Category,Forecasted_Sales,Historical_Average,Growth_Rate_pct,Primary_Action,Severity_Level,Trend_Advice,Seasonality_Advice,Confidence_Score_pct,SHAP_Reason
4,20,Apparel,46.88,48.85,-4.03,Maintain optimal inventory,Low,Demand is accelerating. Prepare additional stock.,No immediate seasonal peaks expected.,93.53,Short-term moving averages indicate steady demand alignment.
4,21,Home Goods,41.82,41.38,1.07,Maintain optimal inventory,Low,Demand is accelerating. Prepare additional stock.,No immediate seasonal peaks expected.,93.53,Short-term moving averages indicate steady demand alignment.
4,22,Home Goods,81.55,82.69,-1.38,Maintain optimal inventory,Low,Demand is slowing. Avoid overstocking.,No immediate seasonal peaks expected.,93.53,Short-term moving averages indicate steady demand alignment.
4,23,Home Goods,29.53,29.99,-1.53,Maintain optimal inventory,Low,Demand is accelerating. Prepare additional stock.,No immediate seasonal peaks expected.,93.53,Short-term moving averages indicate steady demand alignment.
4,24,Home Goods,67.41,67.32,0.13,Maintain optimal inventory,Low,Demand is slowing. Avoid overstocking.,No immediate seasonal peaks expected.,93.53,Short-term moving averages indicate steady demand alignment.
4,25,Home Goods,80.96,83.21,-2.71,Maintain optimal inventory,Low,Demand is accelerating. Prepare additional stock.,No immediate seasonal peaks expected.,93.53,Short-term moving averages indicate steady demand alignment.
4,26,Home Goods,47.15,48.57,-2.93,Maintain optimal inventory,Low,Demand is slowing. Avoid overstocking.,No immediate seasonal peaks expected.,93.53,Short-term moving averages indicate steady demand alignment.
4,27,Home Goods,21.76,22.59,-3.67,Maintain optimal inventory,Low,Demand is accelerating. Prepare additional stock.,No immediate seasonal peaks expected.,93.53,Short-term moving averages indicate steady demand alignment.
4,28,Home Goods,87.33,90.51,-3.51,Maintain optimal inventory,Low,Demand is slowing. Avoid overstocking.,No immediate seasonal peaks expected.,93.53,Short-term moving averages indicate steady demand alignment.
4,29,Home Goods,70.8,71.41,-0.85,Maintain optimal inventory,Low,Demand is slowing. Avoid overstocking.,No immediate seasonal peaks expected.,93.53,Short-term moving averages indicate steady demand alignment.
4,30,Home Goods,41.04,41.5,-1.11,Maintain optimal inventory,Low,Demand is slowing. Avoid overstocking.,No immediate seasonal peaks expected.,93.53,Short-term moving averages indicate steady demand alignment.
4,31,Groceries,60.25,59.89,0.62,Maintain optimal inventory,Low,Demand is slowing. Avoid overstocking.,No immediate seasonal peaks expected.,93.53,Short-term moving averages indicate steady demand alignment.
4,32,Groceries,46.74,44.93,4.03,Maintain optimal inventory,Low,Demand is accelerating. Prepare additional stock.,No immediate seasonal peaks expected.,93.53,Short-term moving averages indicate steady demand alignment.
4,33,Groceries,68.99,71.66,-3.72,Maintain optimal inventory,Low,Demand is accelerating. Prepare additional stock.,No immediate seasonal peaks expected.,93.53,Short-term moving averages indicate steady demand alignment.
4,6,Electronics,56.41,59.91,-5.85,Reduce procurement volume,Medium,Demand is slowing. Avoid overstocking.,No immediate seasonal peaks expected.,98.53,rolling_mean_7 and rolling_mean_30 show a declining demand trend.
4,34,Groceries,26.76,26.31,1.72,Maintain optimal inventory,Low,Demand is slowing. Avoid overstocking.,No immediate seasonal peaks expected.,93.53,Short-term moving averages indicate steady demand alignment.
4,5,Electronics,18.74,19.15,-2.13,Maintain optimal inventory,Low,Demand is slowing. Avoid overstocking.,No immediate seasonal peaks expected.,93.53,Short-term moving averages indicate steady demand alignment.
4,3,Electronics,38.93,37.62,3.46,Maintain optimal inventory,Low,Demand is accelerating. Prepare additional stock.,No immediate seasonal peaks expected.,93.53,Short-term moving averages indicate steady demand alignment.
3,26,Home Goods,52.75,53.04,-0.56,Maintain optimal inventory,Low,Demand is slowing. Avoid overstocking.,No immediate seasonal peaks expected.,93.53,Short-term moving averages indicate steady demand alignment.
3,27,Home Goods,24.82,24.52,1.22,Maintain optimal inventory,Low,Demand is accelerating. Prepare additional stock.,No immediate seasonal peaks expected.,93.53,Short-term moving averages indicate steady demand alignment.
3,28,Home Goods,91.65,97.78,-6.27,Reduce procurement volume,Medium,Demand is accelerating. Prepare additional stock.,No immediate seasonal peaks expected.,83.53,Short-term moving averages indicate steady demand alignment.
3,29,Home Goods,78.5,77.71,1.02,Maintain optimal inventory,Low,Demand is accelerating. Prepare additional stock.,No immediate seasonal peaks expected.,93.53,Short-term moving averages indicate steady demand alignment.
3,30,Home Goods,47.14,44.78,5.27,Increase inventory levels,Medium,Demand is accelerating. Prepare additional stock.,No immediate seasonal peaks expected.,98.53,rolling_mean_7 and sales_lag_7 show strong upward demand trend.
3,31,Groceries,60.93,65.4,-6.83,Reduce procurement volume,Medium,Demand is slowing. Avoid overstocking.,No immediate seasonal peaks expected.,98.53,rolling_mean_7 and rolling_mean_30 show a declining demand trend.
3,32,Groceries,49.85,48.7,2.36,Maintain optimal inventory,Low,Demand is accelerating. Prepare additional stock.,No immediate seasonal peaks expected.,93.53,Short-term moving averages indicate steady demand alignment.
3,33,Groceries,75.94,77.25,-1.7,Maintain optimal inventory,Low,Demand is slowing. Avoid overstocking.,No immediate seasonal peaks expected.,93.53,Short-term moving averages indicate steady demand alignment.
3,34,Groceries,27.91,28.33,-1.47,Maintain optimal inventory,Low,Demand is slowing. Avoid overstocking.,No immediate seasonal peaks expected.,93.53,Short-term moving averages indicate steady demand alignment.
3,35,Groceries,71.44,73.03,-2.18,Maintain optimal inventory,Low,Demand is slowing. Avoid overstocking.,No immediate seasonal peaks expected.,93.53,Short-term moving averages indicate steady demand alignment.
3,36,Groceries,84.66,85.62,-1.11,Maintain optimal inventory,Low,Demand is slowing. Avoid overstocking.,No immediate seasonal peaks expected.,93.53,Short-term moving averages indicate steady demand alignment.
3,37,Groceries,30.19,32.68,-7.61,Reduce procurement volume,Medium,Demand is slowing. Avoid overstocking.,No immediate seasonal peaks expected.,98.53,rolling_mean_7 and rolling_mean_30 show a declining demand trend.
3,38,Groceries,85.53,89.64,-4.59,Maintain optimal inventory,Low,Demand is slowing. Avoid overstocking.,No immediate seasonal peaks expected.,93.53,Short-term moving averages indicate steady demand alignment.
3,39,Groceries,49.33,48.84,1.01,Maintain optimal inventory,Low,Demand is slowing. Avoid overstocking.,No immediate seasonal peaks expected.,93.53,Short-term moving averages indicate steady demand alignment.
3,40,Groceries,31.93,32.67,-2.25,Maintain optimal inventory,Low,Demand is accelerating. Prepare additional stock.,No immediate seasonal peaks expected.,93.53,Short-term moving averages indicate steady demand alignment.
3,41,Health & Beauty,22.92,24.35,-5.87,Reduce procurement volume,Medium,Demand is slowing. Avoid overstocking.,No immediate seasonal peaks expected.,98.53,rolling_mean_7 and rolling_mean_30 show a declining demand trend.
3,42,Health & Beauty,43.41,40.73,6.58,Increase inventory levels,Medium,Demand is accelerating. Prepare additional stock.,No immediate seasonal peaks expected.,98.53,rolling_mean_7 and sales_lag_7 show strong upward demand trend.
3,43,Health & Beauty,55.55,56.83,-2.25,Maintain optimal inventory,Low,Demand is slowing. Avoid overstocking.,No immediate seasonal peaks expected.,93.53,Short-term moving averages indicate steady demand alignment.
3,44,Health & Beauty,30.9,32.65,-5.38,Reduce procurement volume,Medium,Demand is accelerating. Prepare additional stock.,No immediate seasonal peaks expected.,83.53,Short-term moving averages indicate steady demand alignment.
3,45,Health & Beauty,89.39,89.53,-0.15,Maintain optimal inventory,Low,Demand is accelerating. Prepare additional stock.,No immediate seasonal peaks expected.,93.53,Short-term moving averages indicate steady demand alignment.
3,46,Health & Beauty,67.75,65.04,4.16,Maintain optimal inventory,Low,Demand is slowing. Avoid overstocking.,No immediate seasonal peaks expected.,93.53,Short-term moving averages indicate steady demand alignment.
3,47,Health & Beauty,23.98,24.5,-2.12,Maintain optimal inventory,Low,Demand is slowing. Avoid overstocking.,No immediate seasonal peaks expected.,93.53,Short-term moving averages indicate steady demand alignment.
3,48,Health & Beauty,58.77,57.43,2.33,Maintain optimal inventory,Low,Demand is accelerating. Prepare additional stock.,No immediate seasonal peaks expected.,93.53,Short-term moving averages indicate steady demand alignment.
3,49,Health & Beauty,33.81,32.45,4.19,Maintain optimal inventory,Low,Demand is accelerating. Prepare additional stock.,No immediate seasonal peaks expected.,93.53,Short-term moving averages indicate steady demand alignment.
3,50,Health & Beauty,71.43,73.26,-2.51,Maintain optimal inventory,Low,Demand is accelerating. Prepare additional stock.,No immediate seasonal peaks expected.,93.53,Short-term moving averages indicate steady demand alignment.
4,1,Electronics,22.94,22.43,2.24,Maintain optimal inventory,Low,Demand is accelerating. Prepare additional stock.,No immediate seasonal peaks expected.,93.53,Short-term moving averages indicate steady demand alignment.
4,2,Electronics,60.43,60.28,0.25,Maintain optimal inventory,Low,Demand is slowing. Avoid overstocking.,No immediate seasonal peaks expected.,93.53,Short-term moving averages indicate steady demand alignment.
4,4,Electronics,24.6,22.54,9.14,Increase inventory levels,Medium,Demand is accelerating. Prepare additional stock.,No immediate seasonal peaks expected.,98.53,rolling_mean_7 and sales_lag_7 show strong upward demand trend.
4,35,Groceries,66.03,67.18,-1.71,Maintain optimal inventory,Low,Demand is slowing. Avoid overstocking.,No immediate seasonal peaks expected.,93.53,Short-term moving averages indicate steady demand alignment.
4,36,Groceries,80.96,79.08,2.38,Maintain optimal inventory,Low,Demand is accelerating. Prepare additional stock.,No immediate seasonal peaks expected.,93.53,Short-term moving averages indicate steady demand alignment.
4,37,Groceries,28.73,29.99,-4.2,Maintain optimal inventory,Low,Demand is slowing. Avoid overstocking.,No immediate seasonal peaks expected.,93.53,Short-term moving averages indicate steady demand alignment.
5,20,Apparel,34.95,35.59,-1.79,Maintain optimal inventory,Low,Demand is slowing. Avoid overstocking.,No immediate seasonal peaks expected.,93.53,Short-term moving averages indicate steady demand alignment.
5,21,Home Goods,28.26,29.84,-5.29,Reduce procurement volume,Medium,Demand is slowing. Avoid overstocking.,No immediate seasonal peaks expected.,98.53,rolling_mean_7 and rolling_mean_30 show a declining demand trend.
5,22,Home Goods,61.21,59.95,2.11,Maintain optimal inventory,Low,Demand is slowing. Avoid overstocking.,No immediate seasonal peaks expected.,93.53,Short-term moving averages indicate steady demand alignment.
5,23,Home Goods,20.99,21.81,-3.79,Maintain optimal inventory,Low,Demand is slowing. Avoid overstocking.,No immediate seasonal peaks expected.,93.53,Short-term moving averages indicate steady demand alignment.
5,24,Home Goods,49.64,49.04,1.22,Maintain optimal inventory,Low,Demand is accelerating. Prepare additional stock.,No immediate seasonal peaks expected.,93.53,Short-term moving averages indicate steady demand alignment.
5,25,Home Goods,57.92,59.6,-2.82,Maintain optimal inventory,Low,Demand is accelerating. Prepare additional stock.,No immediate seasonal peaks expected.,93.53,Short-term moving averages indicate steady demand alignment.
5,26,Home Goods,31.89,35.53,-10.26,Reduce procurement volume,High,Demand is slowing. Avoid overstocking.,No immediate seasonal peaks expected.,98.53,rolling_mean_7 and rolling_mean_30 show a declining demand trend.
5,27,Home Goods,16.3,16.4,-0.57,Maintain optimal inventory,Low,Demand is accelerating. Prepare additional stock.,No immediate seasonal peaks expected.,93.53,Short-term moving averages indicate steady demand alignment.
5,28,Home Goods,67.06,65.41,2.52,Maintain optimal inventory,Low,Demand is accelerating. Prepare additional stock.,No immediate seasonal peaks expected.,93.53,Short-term moving averages indicate steady demand alignment.
5,29,Home Goods,50.24,51.53,-2.49,Maintain optimal inventory,Low,Demand is accelerating. Prepare additional stock.,No immediate seasonal peaks expected.,93.53,Short-term moving averages indicate steady demand alignment.
5,30,Home Goods,28.54,30.07,-5.09,Reduce procurement volume,Medium,Demand is slowing. Avoid overstocking.,No immediate seasonal peaks expected.,98.53,rolling_mean_7 and rolling_mean_30 show a declining demand trend.
5,31,Groceries,42.19,43.62,-3.28,Maintain optimal inventory,Low,Demand is slowing. Avoid overstocking.,No immediate seasonal peaks expected.,93.53,Short-term moving averages indicate steady demand alignment.
5,32,Groceries,31.2,32.39,-3.68,Maintain optimal inventory,Low,Demand is accelerating. Prepare additional stock.,No immediate seasonal peaks expected.,93.53,Short-term moving averages indicate steady demand alignment.
5,33,Groceries,46.37,51.97,-10.78,Reduce procurement volume,High,Demand is slowing. Avoid overstocking.,No immediate seasonal peaks expected.,98.53,rolling_mean_7 and rolling_mean_30 show a declining demand trend.
5,34,Groceries,17.83,19.21,-7.15,Reduce procurement volume,Medium,Demand is slowing. Avoid overstocking.,No immediate seasonal peaks expected.,98.53,rolling_mean_7 and rolling_mean_30 show a declining demand trend.
5,35,Groceries,50.15,48.85,2.66,Maintain optimal inventory,Low,Demand is accelerating. Prepare additional stock.,No immediate seasonal peaks expected.,93.53,Short-term moving averages indicate steady demand alignment.
5,36,Groceries,57.49,57.3,0.32,Maintain optimal inventory,Low,Demand is slowing. Avoid overstocking.,No immediate seasonal peaks expected.,93.53,Short-term moving averages indicate steady demand alignment.
5,37,Groceries,20.3,21.73,-6.59,Reduce procurement volume,Medium,Demand is accelerating. Prepare additional stock.,No immediate seasonal peaks expected.,83.53,Short-term moving averages indicate steady demand alignment.
5,38,Groceries,61.74,59.9,3.07,Maintain optimal inventory,Low,Demand is accelerating. Prepare additional stock.,No immediate seasonal peaks expected.,93.53,Short-term moving averages indicate steady demand alignment.
5,39,Groceries,31.06,32.43,-4.23,Maintain optimal inventory,Low,Demand is accelerating. Prepare additional stock.,No immediate seasonal peaks expected.,93.53,Short-term moving averages indicate steady demand alignment.
5,40,Groceries,19.82,21.57,-8.11,Reduce procurement volume,Medium,Demand is slowing. Avoid overstocking.,No immediate seasonal peaks expected.,98.53,rolling_mean_7 and rolling_mean_30 show a declining demand trend.
5,41,Health & Beauty,15.0,16.42,-8.68,Reduce procurement volume,Medium,Demand is slowing. Avoid overstocking.,No immediate seasonal peaks expected.,98.53,rolling_mean_7 and rolling_mean_30 show a declining demand trend.
5,42,Health & Beauty,28.04,27.07,3.57,Maintain optimal inventory,Low,Demand is slowing. Avoid overstocking.,No immediate seasonal peaks expected.,93.53,Short-term moving averages indicate steady demand alignment.
5,43,Health & Beauty,39.31,38.27,2.72,Maintain optimal inventory,Low,Demand is slowing. Avoid overstocking.,No immediate seasonal peaks expected.,93.53,Short-term moving averages indicate steady demand alignment.
5,44,Health & Beauty,20.39,21.99,-7.28,Reduce procurement volume,Medium,Demand is accelerating. Prepare additional stock.,No immediate seasonal peaks expected.,83.53,Short-term moving averages indicate steady demand alignment.
5,45,Health & Beauty,58.35,60.02,-2.78,Maintain optimal inventory,Low,Demand is slowing. Avoid overstocking.,No immediate seasonal peaks expected.,93.53,Short-term moving averages indicate steady demand alignment.
5,46,Health & Beauty,48.05,43.72,9.89,Increase inventory levels,Medium,Demand is accelerating. Prepare additional stock.,No immediate seasonal peaks expected.,98.53,rolling_mean_7 and sales_lag_7 show strong upward demand trend.
5,19,Apparel,29.46,29.92,-1.51,Maintain optimal inventory,Low,Demand is slowing. Avoid overstocking.,No immediate seasonal peaks expected.,93.53,Short-term moving averages indicate steady demand alignment.
5,18,Apparel,63.77,62.51,2.02,Maintain optimal inventory,Low,Demand is slowing. Avoid overstocking.,No immediate seasonal peaks expected.,93.53,Short-term moving averages indicate steady demand alignment.
5,17,Apparel,23.85,24.44,-2.4,Maintain optimal inventory,Low,Demand is slowing. Avoid overstocking.,No immediate seasonal peaks expected.,93.53,Short-term moving averages indicate steady demand alignment.
5,16,Apparel,17.14,18.94,-9.5,Reduce procurement volume,Medium,Demand is slowing. Avoid overstocking.,No immediate seasonal peaks expected.,98.53,rolling_mean_7 and rolling_mean_30 show a declining demand trend.
4,38,Groceries,82.35,82.54,-0.23,Maintain optimal inventory,Low,Demand is accelerating. Prepare additional stock.,No immediate seasonal peaks expected.,93.53,Short-term moving averages indicate steady demand alignment.
4,39,Groceries,46.71,45.01,3.79,Maintain optimal inventory,Low,Demand is accelerating. Prepare additional stock.,No immediate seasonal peaks expected.,93.53,Short-term moving averages indicate steady demand alignment.
4,40,Groceries,30.37,29.79,1.95,Maintain optimal inventory,Low,Demand is slowing. Avoid overstocking.,No immediate seasonal peaks expected.,93.53,Short-term moving averages indicate steady demand alignment.
4,41,Health & Beauty,23.95,22.62,5.89,Increase inventory levels,Medium,Demand is slowing. Avoid overstocking.,No immediate seasonal peaks expected.,83.53,Short-term moving averages indicate steady demand alignment.
4,42,Health & Beauty,34.33,37.61,-8.72,Reduce procurement volume,Medium,Demand is slowing. Avoid overstocking.,No immediate seasonal peaks expected.,98.53,rolling_mean_7 and rolling_mean_30 show a declining demand trend.
4,43,Health & Beauty,54.26,52.6,3.15,Maintain optimal inventory,Low,Demand is accelerating. Prepare additional stock.,No immediate seasonal peaks expected.,93.53,Short-term moving averages indicate steady demand alignment.
4,44,Health & Beauty,30.07,30.21,-0.48,Maintain optimal inventory,Low,Demand is slowing. Avoid overstocking.,No immediate seasonal peaks expected.,93.53,Short-term moving averages indicate steady demand alignment.
4,45,Health & Beauty,83.16,82.6,0.68,Maintain optimal inventory,Low,Demand is accelerating. Prepare additional stock.,No immediate seasonal peaks expected.,93.53,Short-term moving averages indicate steady demand alignment.
4,46,Health & Beauty,61.6,59.93,2.78,Maintain optimal inventory,Low,Demand is accelerating. Prepare additional stock.,No immediate seasonal peaks expected.,93.53,Short-term moving averages indicate steady demand alignment.
4,47,Health & Beauty,24.21,22.52,7.52,Increase inventory levels,Medium,Demand is accelerating. Prepare additional stock.,No immediate seasonal peaks expected.,98.53,rolling_mean_7 and sales_lag_7 show strong upward demand trend.
4,48,Health & Beauty,52.72,52.53,0.37,Maintain optimal inventory,Low,Demand is accelerating. Prepare additional stock.,No immediate seasonal peaks expected.,93.53,Short-term moving averages indicate steady demand alignment.
4,49,Health & Beauty,29.43,30.11,-2.26,Maintain optimal inventory,Low,Demand is slowing. Avoid overstocking.,No immediate seasonal peaks expected.,93.53,Short-term moving averages indicate steady demand alignment.
4,50,Health & Beauty,62.75,67.31,-6.77,Reduce procurement volume,Medium,Demand is slowing. Avoid overstocking.,No immediate seasonal peaks expected.,98.53,rolling_mean_7 and rolling_mean_30 show a declining demand trend.
3,25,Home Goods,91.35,89.64,1.91,Maintain optimal inventory,Low,Demand is slowing. Avoid overstocking.,No immediate seasonal peaks expected.,93.53,Short-term moving averages indicate steady demand alignment.
5,1,Electronics,16.08,16.3,-1.32,Maintain optimal inventory,Low,Demand is accelerating. Prepare additional stock.,No immediate seasonal peaks expected.,93.53,Short-term moving averages indicate steady demand alignment.
5,3,Electronics,27.42,27.19,0.87,Maintain optimal inventory,Low,Demand is slowing. Avoid overstocking.,No immediate seasonal peaks expected.,93.53,Short-term moving averages indicate steady demand alignment.
5,4,Electronics,14.92,16.47,-9.39,Reduce procurement volume,Medium,Demand is slowing. Avoid overstocking.,No immediate seasonal peaks expected.,98.53,rolling_mean_7 and rolling_mean_30 show a declining demand trend.
5,5,Electronics,13.56,13.7,-1.0,Maintain optimal inventory,Low,Demand is slowing. Avoid overstocking.,No immediate seasonal peaks expected.,93.53,Short-term moving averages indicate steady demand alignment.
5,6,Electronics,41.16,43.51,-5.41,Reduce procurement volume,Medium,Demand is slowing. Avoid overstocking.,No immediate seasonal peaks expected.,98.53,rolling_mean_7 and rolling_mean_30 show a declining demand trend.
5,7,Electronics,44.25,43.46,1.83,Maintain optimal inventory,Low,Demand is accelerating. Prepare additional stock.,No immediate seasonal peaks expected.,93.53,Short-term moving averages indicate steady demand alignment.
5,8,Electronics,56.18,57.08,-1.57,Maintain optimal inventory,Low,Demand is accelerating. Prepare additional stock.,No immediate seasonal peaks expected.,93.53,Short-term moving averages indicate steady demand alignment.
5,9,Electronics,37.23,37.94,-1.88,Maintain optimal inventory,Low,Demand is accelerating. Prepare additional stock.,No immediate seasonal peaks expected.,93.53,Short-term moving averages indicate steady demand alignment.
5,10,Electronics,56.09,54.08,3.7,Maintain optimal inventory,Low,Demand is accelerating. Prepare additional stock.,No immediate seasonal peaks expected.,93.53,Short-term moving averages indicate steady demand alignment.
5,11,Apparel,52.76,51.66,2.13,Maintain optimal inventory,Low,Demand is accelerating. Prepare additional stock.,No immediate seasonal peaks expected.,93.53,Short-term moving averages indicate steady demand alignment.
5,12,Apparel,49.79,51.87,-4.0,Maintain optimal inventory,Low,Demand is slowing. Avoid overstocking.,No immediate seasonal peaks expected.,93.53,Short-term moving averages indicate steady demand alignment.
5,13,Apparel,60.17,62.88,-4.31,Maintain optimal inventory,Low,Demand is slowing. Avoid overstocking.,No immediate seasonal peaks expected.,93.53,Short-term moving averages indicate steady demand alignment.
5,14,Apparel,46.14,43.94,5.01,Increase inventory levels,Medium,Demand is accelerating. Prepare additional stock.,No immediate seasonal peaks expected.,98.53,rolling_mean_7 and sales_lag_7 show strong upward demand trend.
5,15,Apparel,66.79,65.46,2.03,Maintain optimal inventory,Low,Demand is slowing. Avoid overstocking.,No immediate seasonal peaks expected.,93.53,Short-term moving averages indicate steady demand alignment.
5,2,Electronics,42.42,43.36,-2.16,Maintain optimal inventory,Low,Demand is slowing. Avoid overstocking.,No immediate seasonal peaks expected.,93.53,Short-term moving averages indicate steady demand alignment.
5,47,Health & Beauty,16.05,16.32,-1.67,Maintain optimal inventory,Low,Demand is slowing. Avoid overstocking.,No immediate seasonal peaks expected.,93.53,Short-term moving averages indicate steady demand alignment.
3,24,Home Goods,77.13,73.27,5.27,Increase inventory levels,Medium,Demand is accelerating. Prepare additional stock.,No immediate seasonal peaks expected.,98.53,rolling_mean_7 and sales_lag_7 show strong upward demand trend.
3,22,Home Goods,89.19,89.84,-0.73,Maintain optimal inventory,Low,Demand is slowing. Avoid overstocking.,No immediate seasonal peaks expected.,93.53,Short-term moving averages indicate steady demand alignment.
1,32,Groceries,39.25,38.85,1.01,Maintain optimal inventory,Low,Demand is slowing. Avoid overstocking.,No immediate seasonal peaks expected.,93.53,Short-term moving averages indicate steady demand alignment.
1,33,Groceries,61.33,61.18,0.23,Maintain optimal inventory,Low,Demand is slowing. Avoid overstocking.,No immediate seasonal peaks expected.,93.53,Short-term moving averages indicate steady demand alignment.
1,34,Groceries,23.02,22.72,1.34,Maintain optimal inventory,Low,Demand is slowing. Avoid overstocking.,No immediate seasonal peaks expected.,93.53,Short-term moving averages indicate steady demand alignment.
1,35,Groceries,58.16,58.03,0.22,Maintain optimal inventory,Low,Demand is accelerating. Prepare additional stock.,No immediate seasonal peaks expected.,93.53,Short-term moving averages indicate steady demand alignment.
1,36,Groceries,67.23,67.71,-0.71,Maintain optimal inventory,Low,Demand is slowing. Avoid overstocking.,No immediate seasonal peaks expected.,93.53,Short-term moving averages indicate steady demand alignment.
1,37,Groceries,23.17,25.81,-10.25,Reduce procurement volume,High,Demand is slowing. Avoid overstocking.,No immediate seasonal peaks expected.,98.53,rolling_mean_7 and rolling_mean_30 show a declining demand trend.
1,38,Groceries,68.07,71.45,-4.74,Maintain optimal inventory,Low,Demand is slowing. Avoid overstocking.,No immediate seasonal peaks expected.,93.53,Short-term moving averages indicate steady demand alignment.
1,39,Groceries,39.58,38.73,2.19,Maintain optimal inventory,Low,Demand is accelerating. Prepare additional stock.,No immediate seasonal peaks expected.,93.53,Short-term moving averages indicate steady demand alignment.
1,40,Groceries,24.24,25.79,-5.99,Reduce procurement volume,Medium,Demand is slowing. Avoid overstocking.,No immediate seasonal peaks expected.,98.53,rolling_mean_7 and rolling_mean_30 show a declining demand trend.
1,41,Health & Beauty,19.36,19.57,-1.04,Maintain optimal inventory,Low,Demand is slowing. Avoid overstocking.,No immediate seasonal peaks expected.,93.53,Short-term moving averages indicate steady demand alignment.
1,42,Health & Beauty,29.14,32.36,-9.96,Reduce procurement volume,Medium,Demand is slowing. Avoid overstocking.,No immediate seasonal peaks expected.,98.53,rolling_mean_7 and rolling_mean_30 show a declining demand trend.
1,43,Health & Beauty,44.51,45.14,-1.4,Maintain optimal inventory,Low,Demand is accelerating. Prepare additional stock.,No immediate seasonal peaks expected.,93.53,Short-term moving averages indicate steady demand alignment.
1,44,Health & Beauty,25.5,25.82,-1.22,Maintain optimal inventory,Low,Demand is accelerating. Prepare additional stock.,No immediate seasonal peaks expected.,93.53,Short-term moving averages indicate steady demand alignment.
1,45,Health & Beauty,71.95,71.11,1.18,Maintain optimal inventory,Low,Demand is accelerating. Prepare additional stock.,No immediate seasonal peaks expected.,93.53,Short-term moving averages indicate steady demand alignment.
1,46,Health & Beauty,51.42,51.52,-0.19,Maintain optimal inventory,Low,Demand is slowing. Avoid overstocking.,No immediate seasonal peaks expected.,93.53,Short-term moving averages indicate steady demand alignment.
1,47,Health & Beauty,18.76,19.26,-2.57,Maintain optimal inventory,Low,Demand is slowing. Avoid overstocking.,No immediate seasonal peaks expected.,93.53,Short-term moving averages indicate steady demand alignment.
1,48,Health & Beauty,46.14,45.39,1.66,Maintain optimal inventory,Low,Demand is accelerating. Prepare additional stock.,No immediate seasonal peaks expected.,93.53,Short-term moving averages indicate steady demand alignment.
