Store,Item,Forecasted_Sales,Historical_Average,Decision_Score,Risk_Score,Risk_Level,Business_Category,Priority_Rank,Priority_Level,Operational_Action,Explanation_Forecast,Explanation_SHAP,Explanation_Trend,Explanation_Risk
3,13,98.22,93.81,62.28,83.18,Critical Risk,Strategic Monitoring,11,High Priority,Maintain current replenishment levels,Forecasted demand aligns closely with historical baseline levels,"rolling_mean_7 SHAP contribution indicates a strong positive impact of recent sales, verifying high prediction confidence based on historical patterns",Demand is accelerating: 7-day moving average (86.4) exceeds 30-day baseline (84.7),Critical risk of variance: high historical volatility and forecasting residuals
7,43,36.86,34.46,61.92,27.95,Low Risk,Growth Opportunity,12,High Priority,Increase inventory by 6.9% to meet predicted demand surge,Forecasted demand is 6.9% higher than historical averages,rolling_mean_7 SHAP contribution indicates a strong positive impact of recent sales,Demand is accelerating: 7-day moving average (34.6) exceeds 30-day baseline (31.1),Low forecast uncertainty: minimal volatility observed in predictions
5,46,48.05,43.72,61.9,36.34,Medium Risk,Growth Opportunity,13,High Priority,Increase inventory by 9.9% to meet predicted demand surge,Forecasted demand is 9.9% higher than historical averages,rolling_mean_7 SHAP contribution indicates a strong positive impact of recent sales,Demand is accelerating: 7-day moving average (44.4) exceeds 30-day baseline (40.0),Moderate uncertainty: stable metrics with minor variance
9,47,23.13,22.4,61.34,11.9,Low Risk,Growth Opportunity,14,High Priority,Maintain current replenishment levels,Forecasted demand aligns closely with historical baseline levels,"rolling_mean_7 SHAP contribution indicates a strong positive impact of recent sales, verifying high prediction confidence based on historical patterns",Demand is accelerating: 7-day moving average (21.4) exceeds 30-day baseline (19.6),Low forecast uncertainty: minimal volatility observed in predictions
9,5,19.66,18.76,61.06,9.11,Low Risk,Growth Opportunity,15,High Priority,Maintain current replenishment levels,Forecasted demand aligns closely with historical baseline levels,"rolling_mean_7 SHAP contribution indicates a strong positive impact of recent sales, verifying high prediction confidence based on historical patterns",Demand is accelerating: 7-day moving average (17.4) exceeds 30-day baseline (16.9),Low forecast uncertainty: minimal volatility observed in predictions
10,11,80.83,76.36,61.0,66.06,High Risk,Strategic Monitoring,16,High Priority,Increase inventory by 5.9% to meet predicted demand surge,Forecasted demand is 5.9% higher than historical averages,"rolling_mean_7 SHAP contribution indicates a strong positive impact of recent sales, verifying high prediction confidence based on historical patterns",Demand is accelerating: 7-day moving average (73.9) exceeds 30-day baseline (68.9),Elevated uncertainty: historical sales show significant variance
5,14,46.14,43.94,60.14,36.65,Medium Risk,Growth Opportunity,17,High Priority,Increase inventory by 5.0% to meet predicted demand surge,Forecasted demand is 5.0% higher than historical averages,rolling_mean_7 SHAP contribution indicates a strong positive impact of recent sales,Demand is accelerating: 7-day moving average (44.9) exceeds 30-day baseline (38.4),Moderate uncertainty: stable metrics with minor variance
2,45,101.68,100.83,60.06,90.02,Critical Risk,Strategic Monitoring,18,High Priority,Maintain current replenishment levels,Forecasted demand aligns closely with historical baseline levels,"rolling_mean_7 SHAP contribution indicates a strong positive impact of recent sales, verifying high prediction confidence based on historical patterns",Demand is accelerating: 7-day moving average (94.1) exceeds 30-day baseline (92.2),Critical risk of variance: high historical volatility and forecasting residuals
1,27,19.7,19.6,59.51,10.37,Low Risk,Stable Demand,19,High Priority,Maintain current replenishment levels,Forecasted demand aligns closely with historical baseline levels,"rolling_mean_7 SHAP contribution indicates a strong positive impact of recent sales, verifying high prediction confidence based on historical patterns",Demand is accelerating: 7-day moving average (18.3) exceeds 30-day baseline (16.6),Low forecast uncertainty: minimal volatility observed in predictions
3,5,22.06,20.29,59.47,9.8,Low Risk,Stable Demand,20,High Priority,Increase inventory by 8.7% to meet predicted demand surge,Forecasted demand is 8.7% higher than historical averages,"rolling_mean_7 SHAP contribution indicates a strong positive impact of recent sales, verifying high prediction confidence based on historical patterns",Demand is slowing: 7-day moving average (18.9) has fallen below 30-day baseline (19.8),Low forecast uncertainty: minimal volatility observed in predictions
3,49,33.81,32.45,58.87,25.14,Low Risk,Stable Demand,21,High Priority,Maintain current replenishment levels,Forecasted demand aligns closely with historical baseline levels,rolling_mean_7 SHAP contribution indicates a strong positive impact of recent sales,Demand is accelerating: 7-day moving average (31.7) exceeds 30-day baseline (28.8),Low forecast uncertainty: minimal volatility observed in predictions
2,15,108.55,109.97,58.54,98.89,Critical Risk,Strategic Monitoring,22,High Priority,Maintain current replenishment levels,Forecasted demand aligns closely with historical baseline levels,"rolling_mean_7 SHAP contribution indicates a strong positive impact of recent sales, verifying high prediction confidence based on historical patterns",Demand is accelerating: 7-day moving average (96.9) exceeds 30-day baseline (96.5),Critical risk of variance: high historical volatility and forecasting residuals
2,5,23.94,22.99,58.49,13.54,Low Risk,Stable Demand,23,High Priority,Maintain current replenishment levels,Forecasted demand aligns closely with historical baseline levels,"rolling_mean_7 SHAP contribution indicates a strong positive impact of recent sales, verifying high prediction confidence based on historical patterns",Demand is accelerating: 7-day moving average (21.4) exceeds 30-day baseline (20.7),Low forecast uncertainty: minimal volatility observed in predictions
3,45,89.39,89.53,57.46,78.48,Critical Risk,Strategic Monitoring,24,High Priority,Maintain current replenishment levels,Forecasted demand aligns closely with historical baseline levels,"rolling_mean_7 SHAP contribution indicates a strong positive impact of recent sales, verifying high prediction confidence based on historical patterns",Demand is accelerating: 7-day moving average (84.0) exceeds 30-day baseline (77.5),Critical risk of variance: high historical volatility and forecasting residuals
7,24,47.95,44.69,57.45,34.52,Medium Risk,Stable Demand,25,High Priority,Increase inventory by 7.3% to meet predicted demand surge,Forecasted demand is 7.3% higher than historical averages,rolling_mean_7 SHAP contribution indicates a strong positive impact of recent sales,Demand is accelerating: 7-day moving average (44.3) exceeds 30-day baseline (40.5),Moderate uncertainty: stable metrics with minor variance
7,7,41.66,39.69,57.24,31.1,Medium Risk,Stable Demand,26,High Priority,Maintain current replenishment levels,Forecasted demand aligns closely with historical baseline levels,rolling_mean_7 SHAP contribution indicates a strong positive impact of recent sales,Demand is accelerating: 7-day moving average (39.1) exceeds 30-day baseline (35.6),Moderate uncertainty: stable metrics with minor variance
9,19,44.18,41.51,57.22,33.31,Medium Risk,Stable Demand,27,High Priority,Increase inventory by 6.4% to meet predicted demand surge,Forecasted demand is 6.4% higher than historical averages,rolling_mean_7 SHAP contribution indicates a strong positive impact of recent sales,Demand is accelerating: 7-day moving average (39.7) exceeds 30-day baseline (36.4),Moderate uncertainty: stable metrics with minor variance
3,42,43.41,40.73,56.88,33.31,Medium Risk,Stable Demand,28,High Priority,Increase inventory by 6.6% to meet predicted demand surge,Forecasted demand is 6.6% higher than historical averages,rolling_mean_7 SHAP contribution indicates a strong positive impact of recent sales,Demand is accelerating: 7-day moving average (39.1) exceeds 30-day baseline (36.5),Moderate uncertainty: stable metrics with minor variance
5,27,16.3,16.4,56.76,5.58,Low Risk,Stable Demand,29,High Priority,Maintain current replenishment levels,Forecasted demand aligns closely with historical baseline levels,"rolling_mean_7 SHAP contribution indicates a strong positive impact of recent sales, verifying high prediction confidence based on historical patterns",Demand is accelerating: 7-day moving average (15.1) exceeds 30-day baseline (14.4),Low forecast uncertainty: minimal volatility observed in predictions
7,1,14.53,14.78,56.75,3.42,Low Risk,Stable Demand,30,High Priority,Maintain current replenishment levels,Forecasted demand aligns closely with historical baseline levels,"rolling_mean_7 SHAP contribution indicates a strong positive impact of recent sales, verifying high prediction confidence based on historical patterns",Demand is accelerating: 7-day moving average (13.7) exceeds 30-day baseline (12.9),Low forecast uncertainty: minimal volatility observed in predictions
5,1,16.08,16.3,56.42,5.48,Low Risk,Stable Demand,31,High Priority,Maintain current replenishment levels,Forecasted demand aligns closely with historical baseline levels,"rolling_mean_7 SHAP contribution indicates a strong positive impact of recent sales, verifying high prediction confidence based on historical patterns",Demand is accelerating: 7-day moving average (15.4) exceeds 30-day baseline (14.6),Low forecast uncertainty: minimal volatility observed in predictions
9,37,30.97,29.99,56.41,21.54,Low Risk,Stable Demand,32,High Priority,Maintain current replenishment levels,Forecasted demand aligns closely with historical baseline levels,"rolling_mean_7 SHAP contribution indicates a strong positive impact of recent sales, verifying high prediction confidence based on historical patterns",Demand is accelerating: 7-day moving average (28.9) exceeds 30-day baseline (27.0),Low forecast uncertainty: minimal volatility observed in predictions
4,3,38.93,37.62,56.32,30.51,Medium Risk,Stable Demand,33,High Priority,Maintain current replenishment levels,Forecasted demand aligns closely with historical baseline levels,rolling_mean_7 SHAP contribution indicates a strong positive impact of recent sales,Demand is accelerating: 7-day moving average (36.3) exceeds 30-day baseline (32.8),Moderate uncertainty: stable metrics with minor variance
4,1,22.94,22.43,56.25,13.5,Low Risk,Stable Demand,34,High Priority,Maintain current replenishment levels,Forecasted demand aligns closely with historical baseline levels,"rolling_mean_7 SHAP contribution indicates a strong positive impact of recent sales, verifying high prediction confidence based on historical patterns",Demand is accelerating: 7-day moving average (21.3) exceeds 30-day baseline (20.4),Low forecast uncertainty: minimal volatility observed in predictions
6,34,19.28,19.2,55.92,7.9,Low Risk,Stable Demand,35,High Priority,Maintain current replenishment levels,Forecasted demand aligns closely with historical baseline levels,"rolling_mean_7 SHAP contribution indicates a strong positive impact of recent sales, verifying high prediction confidence based on historical patterns",Demand is accelerating: 7-day moving average (16.9) exceeds 30-day baseline (16.2),Low forecast uncertainty: minimal volatility observed in predictions
8,36,93.25,91.92,55.81,78.25,Critical Risk,Strategic Monitoring,36,High Priority,Maintain current replenishment levels,Forecasted demand aligns closely with historical baseline levels,"rolling_mean_7 SHAP contribution indicates a strong positive impact of recent sales, verifying high prediction confidence based on historical patterns",Demand is accelerating: 7-day moving average (83.7) exceeds 30-day baseline (83.5),Critical risk of variance: high historical volatility and forecasting residuals
4,11,75.97,71.58,55.68,63.86,High Risk,Strategic Monitoring,37,High Priority,Increase inventory by 6.1% to meet predicted demand surge,Forecasted demand is 6.1% higher than historical averages,"rolling_mean_7 SHAP contribution indicates a strong positive impact of recent sales, verifying high prediction confidence based on historical patterns",Demand is accelerating: 7-day moving average (67.1) exceeds 30-day baseline (66.5),Elevated uncertainty: historical sales show significant variance
6,32,32.51,32.63,55.63,24.94,Low Risk,Stable Demand,38,High Priority,Maintain current replenishment levels,Forecasted demand aligns closely with historical baseline levels,"rolling_mean_7 SHAP contribution indicates a strong positive impact of recent sales, verifying high prediction confidence based on historical patterns",Demand is accelerating: 7-day moving average (31.3) exceeds 30-day baseline (27.4),Low forecast uncertainty: minimal volatility observed in predictions
3,18,93.46,93.98,55.61,78.21,Critical Risk,Strategic Monitoring,39,High Priority,Maintain current replenishment levels,Forecasted demand aligns closely with historical baseline levels,"rolling_mean_7 SHAP contribution indicates a strong positive impact of recent sales, verifying high prediction confidence based on historical patterns",Demand is accelerating: 7-day moving average (84.0) exceeds 30-day baseline (80.3),Critical risk of variance: high historical volatility and forecasting residuals
9,23,31.52,30.21,55.53,22.08,Low Risk,Stable Demand,40,High Priority,Maintain current replenishment levels,Forecasted demand aligns closely with historical baseline levels,"rolling_mean_7 SHAP contribution indicates a strong positive impact of recent sales, verifying high prediction confidence based on historical patterns",Demand is accelerating: 7-day moving average (27.4) exceeds 30-day baseline (26.5),Low forecast uncertainty: minimal volatility observed in predictions
10,17,37.32,36.2,55.5,29.81,Low Risk,Stable Demand,41,High Priority,Maintain current replenishment levels,Forecasted demand aligns closely with historical baseline levels,rolling_mean_7 SHAP contribution indicates a strong positive impact of recent sales,Demand is accelerating: 7-day moving average (34.3) exceeds 30-day baseline (31.5),Low forecast uncertainty: minimal volatility observed in predictions
1,49,26.38,25.84,54.99,15.41,Low Risk,Stable Demand,42,High Priority,Maintain current replenishment levels,Forecasted demand aligns closely with historical baseline levels,"rolling_mean_7 SHAP contribution indicates a strong positive impact of recent sales, verifying high prediction confidence based on historical patterns",Demand is accelerating: 7-day moving average (24.4) exceeds 30-day baseline (23.4),Low forecast uncertainty: minimal volatility observed in predictions
6,17,25.36,24.5,54.92,15.06,Low Risk,Stable Demand,43,High Priority,Maintain current replenishment levels,Forecasted demand aligns closely with historical baseline levels,"rolling_mean_7 SHAP contribution indicates a strong positive impact of recent sales, verifying high prediction confidence based on historical patterns",Demand is accelerating: 7-day moving average (23.0) exceeds 30-day baseline (22.7),Low forecast uncertainty: minimal volatility observed in predictions
3,25,91.35,89.64,54.84,81.22,Critical Risk,Strategic Monitoring,44,High Priority,Maintain current replenishment levels,Forecasted demand aligns closely with historical baseline levels,"rolling_mean_7 SHAP contribution indicates a strong positive impact of recent sales, verifying high prediction confidence based on historical patterns",Demand is slowing: 7-day moving average (80.6) has fallen below 30-day baseline (80.7),Critical risk of variance: high historical volatility and forecasting residuals
10,28,96.25,96.41,54.76,80.14,Critical Risk,Strategic Monitoring,45,High Priority,Maintain current replenishment levels,Forecasted demand aligns closely with historical baseline levels,"rolling_mean_7 SHAP contribution indicates a strong positive impact of recent sales, verifying high prediction confidence based on historical patterns",Demand is accelerating: 7-day moving average (85.3) exceeds 30-day baseline (84.7),Critical risk of variance: high historical volatility and forecasting residuals
8,21,51.5,48.48,54.76,39.91,Medium Risk,Stable Demand,46,High Priority,Increase inventory by 6.2% to meet predicted demand surge,Forecasted demand is 6.2% higher than historical averages,rolling_mean_7 SHAP contribution indicates a strong positive impact of recent sales,Demand is accelerating: 7-day moving average (47.0) exceeds 30-day baseline (43.5),Moderate uncertainty: stable metrics with minor variance
8,2,71.97,69.9,54.57,61.47,High Risk,Strategic Monitoring,47,High Priority,Maintain current replenishment levels,Forecasted demand aligns closely with historical baseline levels,rolling_mean_7 SHAP contribution indicates a strong positive impact of recent sales,Demand is accelerating: 7-day moving average (66.7) exceeds 30-day baseline (61.7),Elevated uncertainty: historical sales show significant variance
1,1,19.55,19.59,54.57,9.28,Low Risk,Stable Demand,48,High Priority,Maintain current replenishment levels,Forecasted demand aligns closely with historical baseline levels,"rolling_mean_7 SHAP contribution indicates a strong positive impact of recent sales, verifying high prediction confidence based on historical patterns",Demand is accelerating: 7-day moving average (17.6) exceeds 30-day baseline (17.0),Low forecast uncertainty: minimal volatility observed in predictions
1,10,66.97,64.64,54.53,57.14,High Risk,Strategic Monitoring,49,High Priority,Maintain current replenishment levels,Forecasted demand aligns closely with historical baseline levels,rolling_mean_7 SHAP contribution indicates a strong positive impact of recent sales,Demand is accelerating: 7-day moving average (61.7) exceeds 30-day baseline (57.6),Elevated uncertainty: historical sales show significant variance
2,23,37.75,36.64,54.39,32.62,Medium Risk,Stable Demand,50,High Priority,Maintain current replenishment levels,Forecasted demand aligns closely with historical baseline levels,rolling_mean_7 SHAP contribution indicates a strong positive impact of recent sales,Demand is accelerating: 7-day moving average (34.7) exceeds 30-day baseline (32.3),Moderate uncertainty: stable metrics with minor variance
7,44,20.15,19.95,54.36,10.02,Low Risk,Stable Demand,51,Medium Priority,Maintain current replenishment levels,Forecasted demand aligns closely with historical baseline levels,"rolling_mean_7 SHAP contribution indicates a strong positive impact of recent sales, verifying high prediction confidence based on historical patterns",Demand is accelerating: 7-day moving average (18.0) exceeds 30-day baseline (17.8),Low forecast uncertainty: minimal volatility observed in predictions
6,41,15.63,16.28,54.34,5.87,Low Risk,Stable Demand,52,Medium Priority,Maintain current replenishment levels,Forecasted demand aligns closely with historical baseline levels,"rolling_mean_7 SHAP contribution indicates a strong positive impact of recent sales, verifying high prediction confidence based on historical patterns",Demand is accelerating: 7-day moving average (14.6) exceeds 30-day baseline (13.6),Low forecast uncertainty: minimal volatility observed in predictions
9,22,84.52,82.75,54.33,71.32,Critical Risk,Strategic Monitoring,53,Medium Priority,Maintain current replenishment levels,Forecasted demand aligns closely with historical baseline levels,"rolling_mean_7 SHAP contribution indicates a strong positive impact of recent sales, verifying high prediction confidence based on historical patterns",Demand is accelerating: 7-day moving average (74.0) exceeds 30-day baseline (72.1),Critical risk of variance: high historical volatility and forecasting residuals
7,32,30.69,29.98,54.26,21.7,Low Risk,Stable Demand,54,Medium Priority,Maintain current replenishment levels,Forecasted demand aligns closely with historical baseline levels,"rolling_mean_7 SHAP contribution indicates a strong positive impact of recent sales, verifying high prediction confidence based on historical patterns",Demand is accelerating: 7-day moving average (27.7) exceeds 30-day baseline (26.4),Low forecast uncertainty: minimal volatility observed in predictions
2,4,28.48,27.54,54.24,17.65,Low Risk,Stable Demand,55,Medium Priority,Maintain current replenishment levels,Forecasted demand aligns closely with historical baseline levels,"rolling_mean_7 SHAP contribution indicates a strong positive impact of recent sales, verifying high prediction confidence based on historical patterns",Demand is accelerating: 7-day moving average (25.3) exceeds 30-day baseline (24.8),Low forecast uncertainty: minimal volatility observed in predictions
2,36,93.91,96.42,53.87,81.44,Critical Risk,Strategic Monitoring,56,Medium Priority,Maintain current replenishment levels,Forecasted demand aligns closely with historical baseline levels,"rolling_mean_7 SHAP contribution indicates a strong positive impact of recent sales, verifying high prediction confidence based on historical patterns",Demand is accelerating: 7-day moving average (88.3) exceeds 30-day baseline (84.2),Critical risk of variance: high historical volatility and forecasting residuals
4,41,23.95,22.62,53.84,15.08,Low Risk,Stable Demand,57,Medium Priority,Increase inventory by 5.9% to meet predicted demand surge,Forecasted demand is 5.9% higher than historical averages,"rolling_mean_7 SHAP contribution indicates a strong positive impact of recent sales, verifying high prediction confidence based on historical patterns",Demand is slowing: 7-day moving average (19.6) has fallen below 30-day baseline (20.9),Low forecast uncertainty: minimal volatility observed in predictions
2,12,87.48,87.26,53.76,79.5,Critical Risk,Strategic Monitoring,58,Medium Priority,Maintain current replenishment levels,Forecasted demand aligns closely with historical baseline levels,"rolling_mean_7 SHAP contribution indicates a strong positive impact of recent sales, verifying high prediction confidence based on historical patterns",Demand is accelerating: 7-day moving average (78.4) exceeds 30-day baseline (75.4),Critical risk of variance: high historical volatility and forecasting residuals
3,27,24.82,24.52,53.7,17.0,Low Risk,Stable Demand,59,Medium Priority,Maintain current replenishment levels,Forecasted demand aligns closely with historical baseline levels,"rolling_mean_7 SHAP contribution indicates a strong positive impact of recent sales, verifying high prediction confidence based on historical patterns",Demand is accelerating: 7-day moving average (21.7) exceeds 30-day baseline (21.1),Low forecast uncertainty: minimal volatility observed in predictions
8,41,26.85,26.33,53.62,19.52,Low Risk,Stable Demand,60,Medium Priority,Maintain current replenishment levels,Forecasted demand aligns closely with historical baseline levels,"rolling_mean_7 SHAP contribution indicates a strong positive impact of recent sales, verifying high prediction confidence based on historical patterns",Demand is accelerating: 7-day moving average (24.1) exceeds 30-day baseline (23.5),Low forecast uncertainty: minimal volatility observed in predictions
8,28,102.45,105.07,53.61,94.17,Critical Risk,Strategic Monitoring,61,Medium Priority,Maintain current replenishment levels,Forecasted demand aligns closely with historical baseline levels,"rolling_mean_7 SHAP contribution indicates a strong positive impact of recent sales, verifying high prediction confidence based on historical patterns",Demand is slowing: 7-day moving average (90.9) has fallen below 30-day baseline (91.4),Critical risk of variance: high historical volatility and forecasting residuals
9,11,75.73,71.39,53.61,61.11,High Risk,Strategic Monitoring,62,Medium Priority,Increase inventory by 6.1% to meet predicted demand surge,Forecasted demand is 6.1% higher than historical averages,"rolling_mean_7 SHAP contribution indicates a strong positive impact of recent sales, verifying high prediction confidence based on historical patterns",Demand is slowing: 7-day moving average (65.4) has fallen below 30-day baseline (66.2),Elevated uncertainty: historical sales show significant variance
4,45,83.16,82.6,53.52,72.0,Critical Risk,Strategic Monitoring,63,Medium Priority,Maintain current replenishment levels,Forecasted demand aligns closely with historical baseline levels,"rolling_mean_7 SHAP contribution indicates a strong positive impact of recent sales, verifying high prediction confidence based on historical patterns",Demand is accelerating: 7-day moving average (75.1) exceeds 30-day baseline (71.9),Critical risk of variance: high historical volatility and forecasting residuals
10,22,90.35,88.54,53.5,77.34,Critical Risk,Strategic Monitoring,64,Medium Priority,Maintain current replenishment levels,Forecasted demand aligns closely with historical baseline levels,"rolling_mean_7 SHAP contribution indicates a strong positive impact of recent sales, verifying high prediction confidence based on historical patterns",Demand is slowing: 7-day moving average (78.3) has fallen below 30-day baseline (79.6),Critical risk of variance: high historical volatility and forecasting residuals
4,18,86.71,86.34,53.41,79.95,Critical Risk,Strategic Monitoring,65,Medium Priority,Maintain current replenishment levels,Forecasted demand aligns closely with historical baseline levels,"rolling_mean_7 SHAP contribution indicates a strong positive impact of recent sales, verifying high prediction confidence based on historical patterns",Demand is accelerating: 7-day moving average (77.1) exceeds 30-day baseline (74.5),Critical risk of variance: high historical volatility and forecasting residuals
6,14,46.56,43.42,53.14,36.91,Medium Risk,Stable Demand,66,Medium Priority,Increase inventory by 7.2% to meet predicted demand surge,Forecasted demand is 7.2% higher than historical averages,rolling_mean_7 SHAP contribution indicates a strong positive impact of recent sales,Demand is accelerating: 7-day moving average (40.0) exceeds 30-day baseline (39.2),Moderate uncertainty: stable metrics with minor variance
9,40,31.18,29.98,53.09,23.42,Low Risk,Stable Demand,67,Medium Priority,Maintain current replenishment levels,Forecasted demand aligns closely with historical baseline levels,"rolling_mean_7 SHAP contribution indicates a strong positive impact of recent sales, verifying high prediction confidence based on historical patterns",Demand is accelerating: 7-day moving average (27.1) exceeds 30-day baseline (27.1),Low forecast uncertainty: minimal volatility observed in predictions
1,26,42.95,42.15,52.99,34.35,Medium Risk,Stable Demand,68,Medium Priority,Maintain current replenishment levels,Forecasted demand aligns closely with historical baseline levels,rolling_mean_7 SHAP contribution indicates a strong positive impact of recent sales,Demand is accelerating: 7-day moving average (41.0) exceeds 30-day baseline (37.0),Moderate uncertainty: stable metrics with minor variance
4,13,87.06,86.79,52.93,73.48,Critical Risk,Strategic Monitoring,69,Medium Priority,Maintain current replenishment levels,Forecasted demand aligns closely with historical baseline levels,"rolling_mean_7 SHAP contribution indicates a strong positive impact of recent sales, verifying high prediction confidence based on historical patterns",Demand is accelerating: 7-day moving average (78.9) exceeds 30-day baseline (76.7),Critical risk of variance: high historical volatility and forecasting residuals
7,11,50.5,47.18,52.89,38.61,Medium Risk,Stable Demand,70,Medium Priority,Increase inventory by 7.1% to meet predicted demand surge,Forecasted demand is 7.1% higher than historical averages,rolling_mean_7 SHAP contribution indicates a strong positive impact of recent sales,Demand is accelerating: 7-day moving average (43.7) exceeds 30-day baseline (42.2),Moderate uncertainty: stable metrics with minor variance
7,29,49.24,47.32,52.78,38.8,Medium Risk,Stable Demand,71,Medium Priority,Maintain current replenishment levels,Forecasted demand aligns closely with historical baseline levels,rolling_mean_7 SHAP contribution indicates a strong positive impact of recent sales,Demand is accelerating: 7-day moving average (46.4) exceeds 30-day baseline (42.5),Moderate uncertainty: stable metrics with minor variance
4,36,80.96,79.08,52.78,71.18,Critical Risk,Strategic Monitoring,72,Medium Priority,Maintain current replenishment levels,Forecasted demand aligns closely with historical baseline levels,"rolling_mean_7 SHAP contribution indicates a strong positive impact of recent sales, verifying high prediction confidence based on historical patterns",Demand is accelerating: 7-day moving average (71.9) exceeds 30-day baseline (70.6),Critical risk of variance: high historical volatility and forecasting residuals
6,3,27.06,27.13,52.76,18.82,Low Risk,Stable Demand,73,Medium Priority,Maintain current replenishment levels,Forecasted demand aligns closely with historical baseline levels,"rolling_mean_7 SHAP contribution indicates a strong positive impact of recent sales, verifying high prediction confidence based on historical patterns",Demand is accelerating: 7-day moving average (25.4) exceeds 30-day baseline (23.9),Low forecast uncertainty: minimal volatility observed in predictions
8,20,58.91,56.71,52.53,47.01,Medium Risk,Stable Demand,74,Medium Priority,Maintain current replenishment levels,Forecasted demand aligns closely with historical baseline levels,rolling_mean_7 SHAP contribution indicates a strong positive impact of recent sales,Demand is accelerating: 7-day moving average (56.3) exceeds 30-day baseline (51.7),Moderate uncertainty: stable metrics with minor variance
